Country,city_name,stat_date(周),Daily Orders
CR,San Jose,2024-11-18 / 2024-11-24,2460
PE,Arequipa,2024-11-18 / 2024-11-24,-
PE,Trujillo,2024-11-18 / 2024-11-24,-
PE,Lima,2024-11-18 / 2024-11-24,2292
MX,Las Choapas,2024-11-11 / 2024-11-17,93
MX,Orizaba,2024-11-11 / 2024-11-17,0
MX,Abejones,2024-11-11 / 2024-11-17,-
MX,La Piedad,2024-11-11 / 2024-11-17,-
MX,Zamora,2024-11-11 / 2024-11-17,-
MX,Tulancingo,2024-11-11 / 2024-11-17,-
MX,Minatitlan,2024-11-11 / 2024-11-17,-
MX,Apizaco,2024-11-11 / 2024-11-17,-
MX,Uruapan,2024-11-11 / 2024-11-17,0
MX,Chilpancingo de los Bravo,2024-11-11 / 2024-11-17,0
MX,Comitan de Dominguez,2024-11-11 / 2024-11-17,-
MX,Carmen,2024-11-11 / 2024-11-17,209
MX,Cordoba,2024-11-11 / 2024-11-17,527
MX,Chetumal,2024-11-11 / 2024-11-17,209
MX,Tehuacan,2024-11-11 / 2024-11-17,261
MX,San Cristobal de las Casas,2024-11-11 / 2024-11-17,248
MX,Cancun,2024-11-11 / 2024-11-17,1983
MX,Puebla,2024-11-11 / 2024-11-17,3382
MX,Tlaxcala,2024-11-11 / 2024-11-17,484
MX,Solidaridad,2024-11-11 / 2024-11-17,203
MX,Veracruz,2024-11-11 / 2024-11-17,1252
MX,Morelia,2024-11-11 / 2024-11-17,2429
MX,Acapulco,2024-11-11 / 2024-11-17,316
MX,Merida,2024-11-11 / 2024-11-17,1371
MX,Tapachula,2024-11-11 / 2024-11-17,250
MX,Xalapa,2024-11-11 / 2024-11-17,325
MX,Tuxtla Gutierrez,2024-11-11 / 2024-11-17,2434
MX,Villahermosa,2024-11-11 / 2024-11-17,1591
MX,Oaxaca,2024-11-11 / 2024-11-17,1592
MX,Poza Rica de Hidalgo,2024-11-11 / 2024-11-17,161
MX,Cuernavaca,2024-11-11 / 2024-11-17,1973
MX,Campeche,2024-11-11 / 2024-11-17,525
MX,Pachuca,2024-11-11 / 2024-11-17,483
MX,Coatzacoalcos,2024-11-11 / 2024-11-17,243
MX,Guaymas,2024-11-11 / 2024-11-17,0
MX,Navojoa,2024-11-11 / 2024-11-17,290
MX,Nogales(SON),2024-11-11 / 2024-11-17,0
MX,Tijuana,2024-11-11 / 2024-11-17,3332
MX,Guadalajara,2024-11-11 / 2024-11-17,13210
MX,Mexicali,2024-11-11 / 2024-11-17,4614
MX,Manzanillo,2024-11-11 / 2024-11-17,570
MX,Tepic,2024-11-11 / 2024-11-17,1684
MX,La Paz,2024-11-11 / 2024-11-17,1132
MX,Los Cabos,2024-11-11 / 2024-11-17,757
MX,Hermosillo,2024-11-11 / 2024-11-17,1855
MX,Puerto Vallarta,2024-11-11 / 2024-11-17,775
MX,Los Mochis-Guasave,2024-11-11 / 2024-11-17,901
MX,Mazatlan,2024-11-11 / 2024-11-17,942
MX,Ciudad Obregon,2024-11-11 / 2024-11-17,1215
MX,Colima,2024-11-11 / 2024-11-17,1323
MX,Ensenada,2024-11-11 / 2024-11-17,2498
MX,Culiacan,2024-11-11 / 2024-11-17,2104
MX,San Miguel de Allende,2024-11-11 / 2024-11-17,0
MX,Valles City,2024-11-11 / 2024-11-17,-
MX,Guanajuato,2024-11-11 / 2024-11-17,-
MX,Piedras Negras,2024-11-11 / 2024-11-17,-
MX,Monclova,2024-11-11 / 2024-11-17,0
MX,Reynosa,2024-11-11 / 2024-11-17,0
MX,Durango,2024-11-11 / 2024-11-17,2706
MX,Saltillo,2024-11-11 / 2024-11-17,1017
MX,San Juan del Río,2024-11-11 / 2024-11-17,473
MX,Matamoros,2024-11-11 / 2024-11-17,1496
MX,Victoria,2024-11-11 / 2024-11-17,799
MX,Celaya,2024-11-11 / 2024-11-17,778
MX,Chihuahua,2024-11-11 / 2024-11-17,1781
MX,Irapuato,2024-11-11 / 2024-11-17,645
MX,Tampico,2024-11-11 / 2024-11-17,1498
MX,Jaurez CHIH,2024-11-11 / 2024-11-17,3987
MX,Aguascalientes,2024-11-11 / 2024-11-17,1719
MX,San Luis Potosi,2024-11-11 / 2024-11-17,2167
MX,Queretaro,2024-11-11 / 2024-11-17,2291
MX,Zacatecas,2024-11-11 / 2024-11-17,669
MX,Nuevo Laredo,2024-11-11 / 2024-11-17,669
MX,Torreon,2024-11-11 / 2024-11-17,1947
MX,Leon,2024-11-11 / 2024-11-17,2009
MX,Salamanca,2024-11-11 / 2024-11-17,189
MX,Delicias,2024-11-11 / 2024-11-17,441
MX,Monterrey,2024-11-11 / 2024-11-17,10955
MX,Mexico City,2024-11-11 / 2024-11-17,23829
MX,Toluca,2024-11-11 / 2024-11-17,2110
CO,Valledupar,2024-11-11 / 2024-11-17,0
CO,Santa marta,2024-11-11 / 2024-11-17,0
CO,Ibagué,2024-11-11 / 2024-11-17,0
CO,Cartagena,2024-11-11 / 2024-11-17,233
CO,Pereira,2024-11-11 / 2024-11-17,0
CO,Villavicencio,2024-11-11 / 2024-11-17,0
CO,Manizales,2024-11-11 / 2024-11-17,0
CO,Cali,2024-11-11 / 2024-11-17,3885
CO,Bucaramanga,2024-11-11 / 2024-11-17,718
CO,Cúcuta,2024-11-11 / 2024-11-17,172
CO,Barranquilla,2024-11-11 / 2024-11-17,2480
CO,Medellín,2024-11-11 / 2024-11-17,8231
CO,"Bogotá, D.C.",2024-11-11 / 2024-11-17,8153
CR,Liberia,2024-11-11 / 2024-11-17,-
CR,Limon,2024-11-11 / 2024-11-17,-
CR,San Jose,2024-11-11 / 2024-11-17,2675
PE,Arequipa,2024-11-11 / 2024-11-17,-
PE,Trujillo,2024-11-11 / 2024-11-17,-
PE,Lima,2024-11-11 / 2024-11-17,2472
MX,Cordoba,2024-11-04 / 2024-11-10,512
MX,Las Choapas,2024-11-04 / 2024-11-10,92
MX,Carmen,2024-11-04 / 2024-11-10,224
MX,Chilpancingo de los Bravo,2024-11-04 / 2024-11-10,0
MX,La Piedad,2024-11-04 / 2024-11-10,-
MX,Apizaco,2024-11-04 / 2024-11-10,-
MX,Abejones,2024-11-04 / 2024-11-10,-
MX,Zamora,2024-11-04 / 2024-11-10,-
MX,Tulancingo,2024-11-04 / 2024-11-10,-
MX,Orizaba,2024-11-04 / 2024-11-10,0
MX,Minatitlan,2024-11-04 / 2024-11-10,-
MX,Uruapan,2024-11-04 / 2024-11-10,0
MX,Comitan de Dominguez,2024-11-04 / 2024-11-10,-
MX,Puebla,2024-11-04 / 2024-11-10,3190
MX,Solidaridad,2024-11-04 / 2024-11-10,216
MX,Veracruz,2024-11-04 / 2024-11-10,1193
MX,Poza Rica de Hidalgo,2024-11-04 / 2024-11-10,171
MX,Cuernavaca,2024-11-04 / 2024-11-10,1924
MX,Pachuca,2024-11-04 / 2024-11-10,454
MX,Tlaxcala,2024-11-04 / 2024-11-10,450
MX,Chetumal,2024-11-04 / 2024-11-10,209
MX,Cancun,2024-11-04 / 2024-11-10,1932
MX,Oaxaca,2024-11-04 / 2024-11-10,1520
MX,Coatzacoalcos,2024-11-04 / 2024-11-10,252
MX,Xalapa,2024-11-04 / 2024-11-10,308
MX,San Cristobal de las Casas,2024-11-04 / 2024-11-10,243
MX,Merida,2024-11-04 / 2024-11-10,1305
MX,Campeche,2024-11-04 / 2024-11-10,479
MX,Acapulco,2024-11-04 / 2024-11-10,316
MX,Morelia,2024-11-04 / 2024-11-10,2343
MX,Tehuacan,2024-11-04 / 2024-11-10,238
MX,Tapachula,2024-11-04 / 2024-11-10,249
MX,Tuxtla Gutierrez,2024-11-04 / 2024-11-10,2303
MX,Villahermosa,2024-11-04 / 2024-11-10,1589
MX,Navojoa,2024-11-04 / 2024-11-10,279
MX,Guaymas,2024-11-04 / 2024-11-10,0
MX,Mexicali,2024-11-04 / 2024-11-10,4409
MX,Los Mochis-Guasave,2024-11-04 / 2024-11-10,841
MX,Manzanillo,2024-11-04 / 2024-11-10,569
MX,Mazatlan,2024-11-04 / 2024-11-10,936
MX,La Paz,2024-11-04 / 2024-11-10,1060
MX,Guadalajara,2024-11-04 / 2024-11-10,12812
MX,Nogales(SON),2024-11-04 / 2024-11-10,0
MX,Ciudad Obregon,2024-11-04 / 2024-11-10,1125
MX,Tijuana,2024-11-04 / 2024-11-10,3360
MX,Ensenada,2024-11-04 / 2024-11-10,2484
MX,Hermosillo,2024-11-04 / 2024-11-10,1786
MX,Tepic,2024-11-04 / 2024-11-10,1707
MX,Los Cabos,2024-11-04 / 2024-11-10,705
MX,Colima,2024-11-04 / 2024-11-10,1285
MX,Puerto Vallarta,2024-11-04 / 2024-11-10,732
MX,Culiacan,2024-11-04 / 2024-11-10,2017
MX,San Miguel de Allende,2024-11-04 / 2024-11-10,0
MX,Guanajuato,2024-11-04 / 2024-11-10,-
MX,Valles City,2024-11-04 / 2024-11-10,-
MX,Piedras Negras,2024-11-04 / 2024-11-10,-
MX,Durango,2024-11-04 / 2024-11-10,2688
MX,Nuevo Laredo,2024-11-04 / 2024-11-10,624
MX,Salamanca,2024-11-04 / 2024-11-10,183
MX,Matamoros,2024-11-04 / 2024-11-10,1443
MX,Tampico,2024-11-04 / 2024-11-10,1451
MX,Delicias,2024-11-04 / 2024-11-10,429
MX,Aguascalientes,2024-11-04 / 2024-11-10,1697
MX,Leon,2024-11-04 / 2024-11-10,1913
MX,Victoria,2024-11-04 / 2024-11-10,745
MX,Saltillo,2024-11-04 / 2024-11-10,1021
MX,Monclova,2024-11-04 / 2024-11-10,0
MX,Zacatecas,2024-11-04 / 2024-11-10,624
MX,Queretaro,2024-11-04 / 2024-11-10,2186
MX,Chihuahua,2024-11-04 / 2024-11-10,1739
MX,San Luis Potosi,2024-11-04 / 2024-11-10,2117
MX,San Juan del Río,2024-11-04 / 2024-11-10,453
MX,Celaya,2024-11-04 / 2024-11-10,762
MX,Torreon,2024-11-04 / 2024-11-10,1877
MX,Jaurez CHIH,2024-11-04 / 2024-11-10,3883
MX,Irapuato,2024-11-04 / 2024-11-10,627
MX,Reynosa,2024-11-04 / 2024-11-10,0
MX,Monterrey,2024-11-04 / 2024-11-10,10544
MX,Mexico City,2024-11-04 / 2024-11-10,22523
MX,Toluca,2024-11-04 / 2024-11-10,1956
CO,Ibagué,2024-11-04 / 2024-11-10,0
CO,Valledupar,2024-11-04 / 2024-11-10,0
CO,Santa marta,2024-11-04 / 2024-11-10,0
CO,Cúcuta,2024-11-04 / 2024-11-10,159
CO,Cali,2024-11-04 / 2024-11-10,3812
CO,Cartagena,2024-11-04 / 2024-11-10,204
CO,Bucaramanga,2024-11-04 / 2024-11-10,662
CO,Barranquilla,2024-11-04 / 2024-11-10,2323
CO,Manizales,2024-11-04 / 2024-11-10,0
CO,Villavicencio,2024-11-04 / 2024-11-10,0
CO,Pereira,2024-11-04 / 2024-11-10,0
CO,Medellín,2024-11-04 / 2024-11-10,7836
CO,"Bogotá, D.C.",2024-11-04 / 2024-11-10,7815
CR,Liberia,2024-11-04 / 2024-11-10,-
CR,Limon,2024-11-04 / 2024-11-10,-
CR,San Jose,2024-11-04 / 2024-11-10,2471
PE,Arequipa,2024-11-04 / 2024-11-10,-
