Country,city_name,stat_date(周),Traffic,Shop Enter UV,B P1,B P2,B P1*P2,B Cancel Rate,B Bad Rating Rate
MX,San Luis Potosi,2024-09-02 / 2024-09-08,310911,21458,6.90%,20.30%,1.40%,0.89%,1.38%
MX,Queretaro,2024-09-02 / 2024-09-08,733439,50112,6.83%,18.59%,1.27%,0.97%,1.95%
MX,Mexico City,2024-09-02 / 2024-09-08,7503083,477274,6.36%,18.36%,1.17%,0.84%,2.05%
MX,Toluca,2024-09-02 / 2024-09-08,641548,42298,6.59%,16.50%,1.09%,1.84%,1.71%
CO,Villavicencio,2024-09-02 / 2024-09-08,0,0,-,-,-,-,-
CO,Valledupar,2024-09-02 / 2024-09-08,0,0,-,-,-,-,-
CO,Santa marta,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-
CO,Cúcuta,2024-09-02 / 2024-09-08,19698,728,3.70%,4.26%,0.16%,0.00%,3.57%
CO,Barranquilla,2024-09-02 / 2024-09-08,862487,61962,7.18%,10.63%,0.76%,1.11%,1.80%
CO,Manizales,2024-09-02 / 2024-09-08,0,0,-,-,-,-,-
CO,Medellín,2024-09-02 / 2024-09-08,3567168,240794,6.75%,15.22%,1.03%,0.75%,1.87%
CO,Ibagué,2024-09-02 / 2024-09-08,0,0,-,-,-,-,-
CO,Cartagena,2024-09-02 / 2024-09-08,153438,10247,6.68%,8.61%,0.57%,2.17%,3.59%
CO,Bucaramanga,2024-09-02 / 2024-09-08,235837,19804,8.40%,14.17%,1.19%,0.41%,1.10%
CO,Cali,2024-09-02 / 2024-09-08,1338590,81149,6.06%,12.36%,0.75%,1.22%,1.82%
CO,"Bogotá, D.C.",2024-09-02 / 2024-09-08,5382156,311497,5.79%,17.84%,1.03%,1.13%,2.35%
CO,Pereira,2024-09-02 / 2024-09-08,0,0,-,-,-,-,-
CR,Liberia,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-
CR,Limon,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-
CR,San Jose,2024-09-02 / 2024-09-08,1317213,83286,6.32%,16.55%,1.05%,1.40%,2.24%
PE,Arequipa,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-
PE,Trujillo,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-
PE,Lima,2024-09-02 / 2024-09-08,1426620,89856,6.30%,12.39%,0.78%,0.96%,2.00%
MX,Poza Rica de Hidalgo,2024-08-26 / 2024-09-01,13895,962,6.92%,17.67%,1.22%,4.82%,0.65%
MX,Las Choapas,2024-08-26 / 2024-09-01,6779,418,6.17%,15.79%,0.97%,0.00%,0.00%
MX,Acapulco,2024-08-26 / 2024-09-01,52924,3055,5.77%,10.28%,0.59%,1.01%,1.38%
MX,Chilpancingo de los Bravo,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-
MX,Tehuacan,2024-08-26 / 2024-09-01,19128,1260,6.59%,23.02%,1.52%,1.40%,0.36%
MX,Coatzacoalcos,2024-08-26 / 2024-09-01,31907,2279,7.14%,12.02%,0.86%,0.40%,1.21%
MX,Uruapan,2024-08-26 / 2024-09-01,0,0,-,-,-,-,-
MX,Zamora,2024-08-26 / 2024-09-01,-,-,-,-,-,-,-
