Country,city_name,stat_date(周),Daily GMV,GMV,R Burn,R Burn / GMV,R Burn / Order,B2C Total Burn,B2C / GMV,B2C / Order,B2C Acq Burn,B2C Eng Burn,B Burn,P2C Burn,P2C / GMV,P2C / Order,TED,TED / GMV,TED / Order
MX,Chihuahua,2024-09-09 / 2024-09-15,728410,5098872.9,756789,14.84%,40.62,189008,3.71%,10.14,5719,183289,0,228584,4.48%,12.27,1174380,23.03%,63.03
MX,San Juan del Río,2024-09-09 / 2024-09-15,32360,226520.2,36056,15.92%,50.43,34548,16.35%,48.32,1292,33256,2486,8208,3.62%,11.48,78812,34.79%,110.23
MX,Victoria,2024-09-09 / 2024-09-15,51236,358648.9,74084,20.66%,58.47,10784,3.01%,8.51,510,10273,0,17383,4.85%,13.72,102251,28.51%,80.70
MX,Jaurez CHIH,2024-09-09 / 2024-09-15,1128611,7900274.6,1326779,16.79%,57.31,260749,3.30%,11.26,9875,250875,0,321588,4.07%,13.89,1909116,24.17%,82.47
MX,Saltillo,2024-09-09 / 2024-09-15,193401,1353806.0,171008,12.63%,37.69,39762,2.94%,8.76,1750,38012,0,45387,3.35%,10.00,256157,18.92%,56.46
MX,Monterrey,2024-09-09 / 2024-09-15,1977172,13840203.2,2469781,17.84%,53.74,258180,1.87%,5.62,5790,252390,74,639249,4.62%,13.91,3367210,24.33%,73.26
MX,Aguascalientes,2024-09-09 / 2024-09-15,157754,1104276.6,275680,24.96%,71.68,32976,2.99%,8.57,1247,31729,0,29770,2.70%,7.74,338425,30.65%,87.99
MX,Zacatecas,2024-09-09 / 2024-09-15,44158,309105.8,28262,9.14%,21.51,9868,3.19%,7.51,698,9170,0,10575,3.42%,8.05,48705,15.76%,37.07
MX,Tampico,2024-09-09 / 2024-09-15,197773,1384408.6,204675,14.78%,37.54,48193,3.48%,8.84,2504,45689,0,55851,4.03%,10.24,308719,22.30%,56.62
MX,Leon,2024-09-09 / 2024-09-15,218649,1530539.9,390829,25.54%,76.80,68579,4.48%,13.48,2920,65659,0,52835,3.45%,10.38,512243,33.47%,100.66
MX,San Luis Potosi,2024-09-09 / 2024-09-15,149066,1043461.8,170372,16.33%,42.26,35318,3.38%,8.76,1255,34063,0,31694,3.04%,7.86,237385,22.75%,58.88
MX,Queretaro,2024-09-09 / 2024-09-15,368098,2576686.2,593431,23.03%,71.15,120948,4.74%,14.50,3750,117198,1233,109268,4.24%,13.10,823647,31.97%,98.75
MX,Mexico City,2024-09-09 / 2024-09-15,3772597,26408177.9,5850086,22.15%,70.00,1052549,4.00%,12.59,32393,1020155,2659,1213456,4.60%,14.52,8116091,30.73%,97.11
MX,Toluca,2024-09-09 / 2024-09-15,236983,1658883.8,334328,20.15%,53.45,58987,3.56%,9.43,2422,56565,94,55777,3.36%,8.92,449092,27.07%,71.80
CO,Valledupar,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CO,Santa marta,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CO,Villavicencio,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CO,Cúcuta,2024-09-09 / 2024-09-15,102601,718205.0,49452,6.89%,1705.24,8053,1.12%,277.69,1690,6363,0,127460,17.75%,4395.17,184965,25.75%,6378.10
CO,Barranquilla,2024-09-09 / 2024-09-15,39369521,275586645.0,61896223,22.46%,10369.61,8895056,3.27%,1490.21,428072,8466984,118881,22170817,8.04%,3714.33,92962096,33.73%,15574.15
CO,Medellín,2024-09-09 / 2024-09-15,256329210,1794304467.0,473297536,26.38%,13942.66,59998350,3.37%,1767.46,3076094,56922256,387017,131257598,7.32%,3866.66,664553484,37.04%,19576.78
CO,Ibagué,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CO,Bucaramanga,2024-09-09 / 2024-09-15,12698582,88890071.0,19741633,22.21%,8222.25,2301416,2.59%,958.52,96387,2205029,0,10767326,12.11%,4484.52,32810375,36.91%,13665.30
CO,Cartagena,2024-09-09 / 2024-09-15,3641305,25489136.0,4669628,18.32%,7680.31,1241283,4.96%,2041.58,152519,1088764,21707,2960348,11.61%,4868.99,8871259,34.80%,14590.89
CO,Manizales,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CO,Cali,2024-09-09 / 2024-09-15,68170391,477192736.0,97487914,20.43%,10179.38,14331241,3.02%,1496.42,486561,13844680,102992,31744413,6.65%,3314.65,143563568,30.09%,14990.45
CO,"Bogotá, D.C.",2024-09-09 / 2024-09-15,338290849,2368035942.0,615020196,25.97%,12872.73,93338342,3.99%,1953.63,4006559,89331783,1221847,186185380,7.86%,3896.97,894543918,37.78%,18723.32
CO,Pereira,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CR,Liberia,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CR,Limon,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CR,San Jose,2024-09-09 / 2024-09-15,19576923,137038460.0,31759335,23.18%,2057.09,5224495,3.81%,338.40,141560,5082935,0,5730958,4.18%,371.20,42714788,31.17%,2766.68
PE,Arequipa,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PE,Trujillo,2024-09-09 / 2024-09-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PE,Lima,2024-09-09 / 2024-09-15,84609,592264.4,159092,26.86%,14.77,28756,4.86%,2.67,2432,26325,19,41582,7.02%,3.86,229430,38.74%,21.30
MX,Poza Rica de Hidalgo,2024-09-02 / 2024-09-08,3176,22231.5,3585,16.13%,45.97,889,4.00%,11.40,67,822,0,786,3.53%,10.07,5260,23.66%,67.44
MX,Las Choapas,2024-09-02 / 2024-09-08,2786,19502.6,998,5.12%,15.59,767,3.93%,11.98,45,722,0,590,3.03%,9.23,2355,12.08%,36.80
MX,Acapulco,2024-09-02 / 2024-09-08,11451,80156.8,3579,4.46%,13.26,1990,2.48%,7.37,100,1890,0,2266,2.83%,8.39,7835,9.77%,29.02
MX,Chilpancingo de los Bravo,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Tehuacan,2024-09-02 / 2024-09-08,14366,100562.5,24773,24.63%,65.02,8447,8.40%,22.17,793,7654,0,3321,3.30%,8.72,36542,36.34%,95.91
MX,Coatzacoalcos,2024-09-02 / 2024-09-08,13472,94304.1,8750,9.28%,31.25,2666,2.83%,9.52,90,2576,0,2265,2.40%,8.09,13681,14.51%,48.86
MX,Uruapan,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Zamora,2024-09-02 / 2024-09-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MX,Solidaridad,2024-09-02 / 2024-09-08,16073,112514.5,13904,12.36%,39.84,3121,2.77%,8.94,75,3046,0,4341,3.86%,12.44,21366,18.99%,61.22
MX,Chetumal,2024-09-02 / 2024-09-08,1744,12210.1,690,5.65%,15.68,275,2.25%,6.25,0,275,0,219,1.80%,4.99,1184,9.70%,26.92
MX,Tuxtla Gutierrez,2024-09-02 / 2024-09-08,65880,461161.5,33657,7.30%,19.64,27839,6.04%,16.24,1506,26333,0,21189,4.59%,12.36,82685,17.93%,48.24
MX,Carmen,2024-09-02 / 2024-09-08,2202,15414.2,0,0.00%,0.00,423,2.74%,8.46,0,423,0,277,1.80%,5.55,700,4.54%,14.01
MX,Villahermosa,2024-09-02 / 2024-09-08,373323,2613259.2,563232,21.55%,59.61,99923,3.82%,10.58,2109,97814,31,73111,2.80%,7.74,736266,28.17%,77.93
MX,Cancun,2024-09-02 / 2024-09-08,418437,2929060.8,741845,25.33%,87.94,75047,2.57%,8.90,2398,72649,117,110430,3.77%,13.09,927322,31.66%,109.92
MX,Tapachula,2024-09-02 / 2024-09-08,5907,41350.4,0,0.00%,0.00,1035,2.50%,6.51,38,997,0,1136,2.75%,7.14,2171,5.25%,13.65
