Country,city_name,stat_date(周),Daily Orders,Daily Orders WoW
MX,Ensenada,2024-08-26 / 2024-09-01,633,-4.44%
MX,Navojoa,2024-08-26 / 2024-09-01,25,11.25%
MX,Guaymas,2024-08-26 / 2024-09-01,0,-
MX,Ciudad Obregon,2024-08-26 / 2024-09-01,575,-5.09%
MX,Tepic,2024-08-26 / 2024-09-01,568,-7.34%
MX,Mazatlan,2024-08-26 / 2024-09-01,555,2.94%
MX,Culiacan,2024-08-26 / 2024-09-01,2189,0.80%
MX,Tijuana,2024-08-26 / 2024-09-01,1888,-4.53%
MX,Mexicali,2024-08-26 / 2024-09-01,3536,-0.48%
MX,Los Mochis-Guasave,2024-08-26 / 2024-09-01,355,-10.84%
MX,Hermosillo,2024-08-26 / 2024-09-01,1139,-2.35%
MX,Guadalajara,2024-08-26 / 2024-09-01,7253,-2.32%
MX,Delicias,2024-08-26 / 2024-09-01,46,3.56%
MX,San Miguel de Allende,2024-08-26 / 2024-09-01,0,-
MX,Irapuato,2024-08-26 / 2024-09-01,135,12.86%
MX,Valles City,2024-08-26 / 2024-09-01,-,-
MX,Salamanca,2024-08-26 / 2024-09-01,28,-14.10%
MX,Celaya,2024-08-26 / 2024-09-01,240,-1.52%
MX,Reynosa,2024-08-26 / 2024-09-01,0,-
MX,Nuevo Laredo,2024-08-26 / 2024-09-01,64,-0.44%
MX,Matamoros,2024-08-26 / 2024-09-01,308,-3.88%
MX,Piedras Negras,2024-08-26 / 2024-09-01,-,-
MX,Monclova,2024-08-26 / 2024-09-01,0,-
MX,Torreon,2024-08-26 / 2024-09-01,824,-2.27%
MX,Durango,2024-08-26 / 2024-09-01,1365,0.56%
MX,Chihuahua,2024-08-26 / 2024-09-01,2515,-8.72%
MX,San Juan del Río,2024-08-26 / 2024-09-01,99,4.99%
MX,Jaurez CHIH,2024-08-26 / 2024-09-01,3189,-7.23%
MX,Victoria,2024-08-26 / 2024-09-01,180,9.83%
MX,Saltillo,2024-08-26 / 2024-09-01,673,-4.02%
MX,Monterrey,2024-08-26 / 2024-09-01,6606,-6.50%
MX,Aguascalientes,2024-08-26 / 2024-09-01,516,-5.64%
MX,Zacatecas,2024-08-26 / 2024-09-01,160,-7.96%
MX,Tampico,2024-08-26 / 2024-09-01,756,6.91%
MX,Leon,2024-08-26 / 2024-09-01,716,-7.33%
MX,San Luis Potosi,2024-08-26 / 2024-09-01,625,-7.66%
MX,Queretaro,2024-08-26 / 2024-09-01,1217,-6.41%
MX,Mexico City,2024-08-26 / 2024-09-01,11681,-3.30%
MX,Toluca,2024-08-26 / 2024-09-01,954,-3.37%
CO,Valledupar,2024-08-26 / 2024-09-01,0,-
CO,Santa marta,2024-08-26 / 2024-09-01,-,-
CO,Villavicencio,2024-08-26 / 2024-09-01,0,-
CO,Cúcuta,2024-08-26 / 2024-09-01,3,-8.33%
CO,Barranquilla,2024-08-26 / 2024-09-01,862,4.59%
CO,Manizales,2024-08-26 / 2024-09-01,0,-
CO,Cartagena,2024-08-26 / 2024-09-01,101,14.10%
CO,Ibagué,2024-08-26 / 2024-09-01,0,-
CO,Bucaramanga,2024-08-26 / 2024-09-01,344,-15.61%
CO,Medellín,2024-08-26 / 2024-09-01,4758,-4.05%
CO,Cali,2024-08-26 / 2024-09-01,1280,-7.41%
CO,"Bogotá, D.C.",2024-08-26 / 2024-09-01,7176,-3.85%
CO,Pereira,2024-08-26 / 2024-09-01,0,-
CR,Liberia,2024-08-26 / 2024-09-01,-,-
CR,Limon,2024-08-26 / 2024-09-01,-,-
CR,San Jose,2024-08-26 / 2024-09-01,2071,9.46%
PE,Arequipa,2024-08-26 / 2024-09-01,-,-
PE,Trujillo,2024-08-26 / 2024-09-01,-,-
PE,Lima,2024-08-26 / 2024-09-01,1528,13.61%
