Country Code,city_name,organization_type,Stat Date(周),5 + order store count(week total)
MX,Tampico,SME,2024-11-25 / 2024-12-01,85.0
MX,San Luis Potosi,SME,2024-11-25 / 2024-12-01,138.0
MX,Xalapa,SME,2024-11-25 / 2024-12-01,19.0
MX,Coatzacoalcos,SME,2024-11-25 / 2024-12-01,16.0
MX,Mazatlan,SME,2024-11-25 / 2024-12-01,61.0
MX,Morelia,SME,2024-11-25 / 2024-12-01,140.0
MX,Puebla,SME,2024-11-25 / 2024-12-01,217.0
MX,Navojoa,SME,2024-11-25 / 2024-12-01,17.0
MX,Las Choapas,SME,2024-11-25 / 2024-12-01,7.0
MX,San Cristobal de las Casas,SME,2024-11-25 / 2024-12-01,17.0
MX,San Juan del Río,SME,2024-11-25 / 2024-12-01,36.0
MX,Torreon,SME,2024-11-25 / 2024-12-01,124.0
MX,Cuernavaca,SME,2024-11-25 / 2024-12-01,124.0
MX,Pachuca,SME,2024-11-25 / 2024-12-01,20.0
MX,Celaya,SME,2024-11-25 / 2024-12-01,45.0
MX,Cordoba,SME,2024-11-25 / 2024-12-01,31.0
MX,Toluca,SME,2024-11-25 / 2024-12-01,121.0
MX,Manzanillo,SME,2024-11-25 / 2024-12-01,39.0
MX,Monterrey,SME,2024-11-25 / 2024-12-01,642.0
MX,Ensenada,SME,2024-11-25 / 2024-12-01,141.0
MX,Poza Rica de Hidalgo,SME,2024-11-25 / 2024-12-01,12.0
MX,Leon,SME,2024-11-25 / 2024-12-01,114.0
MX,Victoria,SME,2024-11-25 / 2024-12-01,46.0
MX,Los Mochis-Guasave,SME,2024-11-25 / 2024-12-01,54.0
MX,Guadalajara,SME,2024-11-25 / 2024-12-01,797.0
MX,La Paz,SME,2024-11-25 / 2024-12-01,81.0
MX,Puerto Vallarta,SME,2024-11-25 / 2024-12-01,46.0
MX,Chihuahua,SME,2024-11-25 / 2024-12-01,110.0
MX,Veracruz,SME,2024-11-25 / 2024-12-01,72.0
MX,Campeche,SME,2024-11-25 / 2024-12-01,34.0
MX,Chetumal,SME,2024-11-25 / 2024-12-01,15.0
