organization_type,country_code,city_name,stat_date(周),Daily Orders,R Burn / GMV,B2C / GMV,TED / GMV,Traffic,Shop Enter UV,B P1*P2,B Cancel Rate,AOP,ASP
Normal,CO,"Bogotá, D.C.",2024-12-02 / 2024-12-08,7932,29.09%,0.043000000000000000,0.408200000000000000,6383460,382035,0.96%,1.71%,49409.9952000000000,29242.7877000000000
Normal,CO,Cali,2024-12-02 / 2024-12-08,3661,26.11%,0.054200000000000000,0.383300000000000000,2954998,192722,0.96%,1.63%,44377.8015000000000,27368.7053000000000
Normal,CO,Bucaramanga,2024-12-02 / 2024-12-08,635,26.45%,0.034200000000000000,0.384800000000000000,478790,34654,1.02%,1.28%,39268.6833000000000,24159.9332000000000
Normal,CO,Cartagena,2024-12-02 / 2024-12-08,195,15.54%,0.027700000000000000,0.349900000000000000,284820,17131,0.68%,3.67%,37669.3120000000000,24489.0264000000000
Normal,CO,Villavicencio,2024-12-02 / 2024-12-08,0,-,-,-,0,0,-,-,-,-
Normal,CO,Barranquilla,2024-12-02 / 2024-12-08,2234,29.76%,0.035600000000000000,0.410000000000000000,1548194,111370,1.07%,1.13%,41533.5298000000000,24506.1555000000000
Normal,CO,Cúcuta,2024-12-02 / 2024-12-08,155,25.77%,0.028600000000000000,0.378800000000000000,175008,10671,0.72%,2.46%,41066.2290000000000,25511.6362000000000
Normal,CO,Santa marta,2024-12-02 / 2024-12-08,0,-,-,-,0,0,-,-,-,-
Normal,CO,Pereira,2024-12-02 / 2024-12-08,0,-,-,-,0,0,-,-,-,-
Normal,CO,Manizales,2024-12-02 / 2024-12-08,0,-,-,-,0,0,-,-,-,-
Normal,CO,Ibagué,2024-12-02 / 2024-12-08,0,-,-,-,0,0,-,-,-,-
Normal,PE,Lima,2024-12-02 / 2024-12-08,2402,26.51%,0.050600000000000000,0.376500000000000000,1965898,120060,0.91%,1.56%,40.2861000000000,25.1189000000000
Normal,PE,Trujillo,2024-12-02 / 2024-12-08,-,-,-,-,-,-,-,-,-,-
Normal,PE,Arequipa,2024-12-02 / 2024-12-08,-,-,-,-,-,-,-,-,-,-
Normal,CR,Limon,2024-12-02 / 2024-12-08,-,-,-,-,-,-,-,-,-,-
