Country,city_name,stat_date(周),R Burn / GMV,B2C / GMV,P2C / GMV,TED / GMV
MX,Poza Rica de Hidalgo,2024-08-26 / 2024-09-01,14.75%,3.65%,4.16%,22.56%
MX,Acapulco,2024-08-26 / 2024-09-01,14.74%,1.63%,3.08%,19.45%
MX,Oaxaca,2024-08-26 / 2024-09-01,20.81%,3.50%,2.64%,26.95%
MX,Villahermosa,2024-08-26 / 2024-09-01,17.01%,3.50%,3.35%,23.86%
MX,Cuernavaca,2024-08-26 / 2024-09-01,16.87%,4.34%,2.54%,23.74%
MX,Xalapa,2024-08-26 / 2024-09-01,17.34%,4.36%,4.35%,26.06%
MX,Cancun,2024-08-26 / 2024-09-01,12.95%,3.44%,5.07%,21.46%
MX,Puebla,2024-08-26 / 2024-09-01,23.05%,5.66%,2.67%,31.37%
MX,Tlaxcala,2024-08-26 / 2024-09-01,17.71%,5.50%,3.42%,26.62%
MX,Merida,2024-08-26 / 2024-09-01,16.29%,3.53%,3.12%,22.93%
MX,Pachuca,2024-08-26 / 2024-09-01,17.40%,3.25%,3.76%,24.40%
MX,Coatzacoalcos,2024-08-26 / 2024-09-01,19.34%,6.26%,3.22%,28.82%
MX,Navojoa,2024-08-26 / 2024-09-01,13.38%,4.94%,3.80%,22.12%
MX,Guaymas,2024-08-26 / 2024-09-01,-,-,-,-
MX,Ensenada,2024-08-26 / 2024-09-01,13.08%,2.50%,3.38%,18.96%
MX,Guadalajara,2024-08-26 / 2024-09-01,18.93%,4.01%,3.89%,26.83%
MX,Los Cabos,2024-08-26 / 2024-09-01,10.91%,2.89%,5.00%,18.79%
MX,Colima,2024-08-26 / 2024-09-01,13.07%,3.76%,6.55%,23.38%
MX,Hermosillo,2024-08-26 / 2024-09-01,19.82%,3.90%,1.73%,25.44%
MX,Puerto Vallarta,2024-08-26 / 2024-09-01,16.64%,4.18%,3.07%,23.90%
MX,Mazatlan,2024-08-26 / 2024-09-01,11.35%,2.30%,3.13%,16.78%
MX,Mexicali,2024-08-26 / 2024-09-01,14.36%,3.46%,4.01%,21.83%
MX,Los Mochis-Guasave,2024-08-26 / 2024-09-01,12.26%,3.80%,4.24%,20.30%
MX,Tepic,2024-08-26 / 2024-09-01,18.69%,3.16%,3.29%,25.14%
MX,Tijuana,2024-08-26 / 2024-09-01,14.56%,3.41%,3.50%,21.44%
MX,Nogales(SON),2024-08-26 / 2024-09-01,-,-,-,-
MX,Ciudad Obregon,2024-08-26 / 2024-09-01,19.62%,3.67%,3.88%,27.16%
